card_name,part_img,set,images
Concordia Pegasus,Concordia Pegasus.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Concordia Pegasus.jpg
Consign to the Pit,Consign to the Pit.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Consign to the Pit.jpg
Coral Commando,Coral Commando.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Coral Commando.jpg
Cry of the Carnarium,Cry of the Carnarium.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Cry of the Carnarium.jpg
Cult Guildmage,Cult Guildmage.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Cult Guildmage.jpg
Dagger Caster,Dagger Caster.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Dagger Caster.jpg
Dead Revels,Dead Revels.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Dead Revels.jpg
Debtors' Transport,Debtors' Transport.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Debtors' Transport.jpg
Deface,Deface.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Deface.jpg
Deputy of Detention,Deputy of Detention.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Deputy of Detention.jpg
Domri's Nodoro,Domri's Nodorog.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Domri's Nodorog.jpg
"Domri, Chaos Bringer","Domri, Chaos Bringer.jpg",Ravnica Allegiance,"data\Ravnica Allegiance\imgs\Domri, Chaos Bringer.jpg"
"Domri, City Smasher","Domri, City Smasher.jpg",Ravnica Allegiance,"data\Ravnica Allegiance\imgs\Domri, City Smasher.jpg"
Dovin's Acuity,Dovin's Acuity.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Dovin's Acuity.jpg
Dovin's Automaton,Dovin's Automaton.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Dovin's Automaton.jpg
Dovin's Dismissal,Dovin's Dismissal.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Dovin's Dismissal.jpg
"Dovin, Architect of Law","Dovin, Architect of Law.jpg",Ravnica Allegiance,"data\Ravnica Allegiance\imgs\Dovin, Architect of Law.jpg"
"Dovin, Grand Arbiter","Dovin, Grand Arbiter.jpg",Ravnica Allegiance,"data\Ravnica Allegiance\imgs\Dovin, Grand Arbiter.jpg"
Drill Bit,Drill Bit.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Drill Bit.jpg
Electrodominance,Electrodominance.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Electrodominance.jpg
Elite Arrester,Elite Arrester.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Elite Arrester.jpg
Emergency Powers,Emergency Powers.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Emergency Powers.jpg
End-Raze Forerunners,End-Raze Forerunners.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\End-Raze Forerunners.jpg
Enraged Ceratok,Enraged Ceratok.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Enraged Ceratok.jpg
Essence Capture,Essence Capture.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Essence Capture.jpg
Ethereal Absolution,Ethereal Absolution.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Ethereal Absolution.jpg
Expose to Daylight,Expose to Daylight.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Expose to Daylight.jpg
Eyes Everywhere,Eyes Everywhere.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Eyes Everywhere.jpg
Faerie Duelist,Faerie Duelist.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Faerie Duelist.jpg
Feral Maaka,Feral Maaka.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Feral Maaka.jpg
Final Payment,Final Payment.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Final Payment.jpg
Fireblade Artist,Fireblade Artist.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Fireblade Artist.jpg
Flames of the Raze-Boar,Flames of the Raze-Boar.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Flames of the Raze-Boar.jpg
Font of Agonies,Font of Agonies.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Font of Agonies.jpg
Footlight Fiend,Footlight Fiend.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Footlight Fiend.jpg
Forbidding Spirit,Forbidding Spirit.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Forbidding Spirit.jpg
Forest,Forest.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Forest.jpg
Frenzied Arynx,Frenzied Arynx.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Frenzied Arynx.jpg
Frilled Mystic,Frilled Mystic.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Frilled Mystic.jpg
Galloping Lizro,Galloping Lizrog.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Galloping Lizrog.jpg
Gate Colossus,Gate Colossus.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Gate Colossus.jpg
Gatebreaker Ram,Gatebreaker Ram.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Gatebreaker Ram.jpg
Gates Ablaze,Gates Ablaze.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Gates Ablaze.jpg
Gateway Plaza,Gateway Plaza.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Gateway Plaza.jpg
Gateway Sneak,Gateway Sneak.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Gateway Sneak.jpg
Get the Point,Get the Point.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Get the Point.jpg
Ghor-Clan Wrecker,Ghor-Clan Wrecker.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Ghor-Clan Wrecker.jpg
Gift of Strength,Gift of Strength.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Gift of Strength.jpg
Glass of the Guildpact,Glass of the Guildpact.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Glass of the Guildpact.jpg
Goblin Gatherin,Goblin Gathering.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Goblin Gathering.jpg
Godless Shrine,Godless Shrine.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Godless Shrine.jpg
Grasping Thrull,Grasping Thrull.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Grasping Thrull.jpg
Gravel-Hide Goblin,Gravel-Hide Goblin.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Gravel-Hide Goblin.jpg
Grotesque Demise,Grotesque Demise.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Grotesque Demise.jpg
Growth Spiral,Growth Spiral.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Growth Spiral.jpg
Growth-Chamber Guardian,Growth-Chamber Guardian.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Growth-Chamber Guardian.jpg
Gruul Beastmaster,Gruul Beastmaster.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Gruul Beastmaster.jpg
Gruul Guildgate,Gruul Guildgate.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Gruul Guildgate.jpg
Gruul Locket,Gruul Locket.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Gruul Locket.jpg
Gruul Spellbreaker,Gruul Spellbreaker.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Gruul Spellbreaker.jpg
Guardian Project,Guardian Project.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Guardian Project.jpg
Gutterbones,Gutterbones.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Gutterbones.jpg
Gyre Engineer,Gyre Engineer.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Gyre Engineer.jpg
Haazda Officer,Haazda Officer.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Haazda Officer.jpg
Hackrobat,Hackrobat.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Hackrobat.jpg
Hallowed Fountain,Hallowed Fountain.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Hallowed Fountain.jpg
Hero of Precinct One,Hero of Precinct One.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Hero of Precinct One.jpg
High Alert,High Alert.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\High Alert.jpg
Humongulus,Humongulus.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Humongulus.jpg
Hydroid Krasis,Hydroid Krasis.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Hydroid Krasis.jpg
Ill-Gotten Inheritance,Ill-Gotten Inheritance.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Ill-Gotten Inheritance.jpg
Immolation Shaman,Immolation Shaman.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Immolation Shaman.jpg
Impassioned Orator,Impassioned Orator.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Impassioned Orator.jpg
Imperious Oligarch,Imperious Oligarch.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Imperious Oligarch.jpg
Incubation Druid,Incubation Druid.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Incubation Druid.jpg
Island,Island.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Island.jpg
"Judith, the Scourge Diva","Judith, the Scourge Diva.jpg",Ravnica Allegiance,"data\Ravnica Allegiance\imgs\Judith, the Scourge Diva.jpg"
Junktroller,Junktroller.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Junktroller.jpg
Justiciar's Portal,Justiciar's Portal.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Justiciar's Portal.jpg
Kaya's Wrath,Kaya's Wrath.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Kaya's Wrath.jpg
"Kaya, Orzhov Usurper","Kaya, Orzhov Usurper.jpg",Ravnica Allegiance,"data\Ravnica Allegiance\imgs\Kaya, Orzhov Usurper.jpg"
Knight of Sorrows,Knight of Sorrows.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Knight of Sorrows.jpg
Knight of the Last Breath,Knight of the Last Breath.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Knight of the Last Breath.jpg
"Lavinia, Azorius Renegade","Lavinia, Azorius Renegade.jpg",Ravnica Allegiance,"data\Ravnica Allegiance\imgs\Lavinia, Azorius Renegade.jpg"
Lawmage's Bindin,Lawmage's Binding.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Lawmage's Binding.jpg
Light Up the Stage,Light Up the Stage.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Light Up the Stage.jpg
Lumbering Battlement,Lumbering Battlement.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Lumbering Battlement.jpg
Macabre Mockery,Macabre Mockery.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Macabre Mockery.jpg
Mammoth Spider,Mammoth Spider.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Mammoth Spider.jpg
Mass Manipulation,Mass Manipulation.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Mass Manipulation.jpg
Mesmerizing Benthid,Mesmerizing Benthid.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Mesmerizing Benthid.jpg
Ministrant of Obligation,Ministrant of Obligation.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Ministrant of Obligation.jpg
Mirror March,Mirror March.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Mirror March.jpg
Mortify,Mortify.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Mortify.jpg
Mountain,Mountain.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Mountain.jpg
Nikya of the Old Ways,Nikya of the Old Ways.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Nikya of the Old Ways.jpg
Noxious Groodion,Noxious Groodion.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Noxious Groodion.jpg
Open the Gates,Open the Gates.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Open the Gates.jpg
Orzhov Enforcer,Orzhov Enforcer.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Orzhov Enforcer.jpg
Orzhov Guildgate,Orzhov Guildgate.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Orzhov Guildgate.jpg
Orzhov Locket,Orzhov Locket.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Orzhov Locket.jpg
Orzhov Racketeers,Orzhov Racketeers.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Orzhov Racketeers.jpg
Persistent Petitioners,Persistent Petitioners.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Persistent Petitioners.jpg
Pestilent Spirit,Pestilent Spirit.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Pestilent Spirit.jpg
Pitiless Pontiff,Pitiless Pontiff.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Pitiless Pontiff.jpg
Plague Wight,Plague Wight.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Plague Wight.jpg
Plains,Plains.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Plains.jpg
Plaza of Harmony,Plaza of Harmony.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Plaza of Harmony.jpg
Precognitive Perception,Precognitive Perception.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Precognitive Perception.jpg
Priest of Forgotten Gods,Priest of Forgotten Gods.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Priest of Forgotten Gods.jpg
Prime Speaker Vannifar,Prime Speaker Vannifar.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Prime Speaker Vannifar.jpg
Prowling Caracal,Prowling Caracal.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Prowling Caracal.jpg
Prying Eyes,Prying Eyes.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Prying Eyes.jpg
Pteramander,Pteramander.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Pteramander.jpg
Rafter Demon,Rafter Demon.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Rafter Demon.jpg
Ragefire,Ragefire.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Ragefire.jpg
Rakdos Firewheeler,Rakdos Firewheeler.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Rakdos Firewheeler.jpg
Rakdos Guildgate,Rakdos Guildgate.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Rakdos Guildgate.jpg
Rakdos Locket,Rakdos Locket.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Rakdos Locket.jpg
Rakdos Roustabout,Rakdos Roustabout.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Rakdos Roustabout.jpg
Rakdos Trumpeter,Rakdos Trumpeter.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Rakdos Trumpeter.jpg
"Rakdos, the Showstopper","Rakdos, the Showstopper.jpg",Ravnica Allegiance,"data\Ravnica Allegiance\imgs\Rakdos, the Showstopper.jpg"
Rally to Battle,Rally to Battle.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Rally to Battle.jpg
Rampage of the Clans,Rampage of the Clans.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Rampage of the Clans.jpg
Rampaging Rendhorn,Rampaging Rendhorn.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Rampaging Rendhorn.jpg
Ravager Wurm,Ravager Wurm.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Ravager Wurm.jpg
Regenesis,Regenesis.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Regenesis.jpg
Resolute Watchdo,Resolute Watchdog.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Resolute Watchdog.jpg
Rhythm of the Wild,Rhythm of the Wild.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Rhythm of the Wild.jpg
Rix Maadi Reveler,Rix Maadi Reveler.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Rix Maadi Reveler.jpg
Root Snare,Root Snare.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Root Snare.jpg
Rubble Readin,Rubble Reading.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Rubble Reading.jpg
Rubble Slinger,Rubble Slinger.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Rubble Slinger.jpg
Rubblebelt Recluse,Rubblebelt Recluse.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Rubblebelt Recluse.jpg
Rubblebelt Runner,Rubblebelt Runner.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Rubblebelt Runner.jpg
Rumbling Ruin,Rumbling Ruin.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Rumbling Ruin.jpg
Sage's Row Savant,Sage's Row Savant.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Sage's Row Savant.jpg
Sagittars' Volley,Sagittars' Volley.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Sagittars' Volley.jpg
Saruli Caretaker,Saruli Caretaker.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Saruli Caretaker.jpg
Sauroform Hybrid,Sauroform Hybrid.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Sauroform Hybrid.jpg
Savage Smash,Savage Smash.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Savage Smash.jpg
Scorchmark,Scorchmark.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Scorchmark.jpg
Screaming Shield,Screaming Shield.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Screaming Shield.jpg
Scuttlegator,Scuttlegator.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Scuttlegator.jpg
Senate Courier,Senate Courier.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Senate Courier.jpg
Senate Griffin,Senate Griffin.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Senate Griffin.jpg
Senate Guildmage,Senate Guildmage.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Senate Guildmage.jpg
Sentinel's Mark,Sentinel's Mark.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Sentinel's Mark.jpg
Seraph of the Scales,Seraph of the Scales.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Seraph of the Scales.jpg
Sharktocrab,Sharktocrab.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Sharktocrab.jpg
Shimmer of Possibility,Shimmer of Possibility.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Shimmer of Possibility.jpg
Silhana Wayfinder,Silhana Wayfinder.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Silhana Wayfinder.jpg
Simic Ascendancy,Simic Ascendancy.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Simic Ascendancy.jpg
Simic Guildgate,Simic Guildgate.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Simic Guildgate.jpg
Simic Locket,Simic Locket.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Simic Locket.jpg
Skarrgan Hellkite,Skarrgan Hellkite.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Skarrgan Hellkite.jpg
Skatewing Spy,Skatewing Spy.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Skatewing Spy.jpg
Skewer the Critics,Skewer the Critics.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Skewer the Critics.jpg
Skitter Eel,Skitter Eel.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Skitter Eel.jpg
Sky Tether,Sky Tether.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Sky Tether.jpg
Slimebind,Slimebind.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Slimebind.jpg
Smelt-Ward Ignus,Smelt-Ward Ignus.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Smelt-Ward Ignus.jpg
Smothering Tithe,Smothering Tithe.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Smothering Tithe.jpg
Spawn of Mayhem,Spawn of Mayhem.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Spawn of Mayhem.jpg
Spear Spewer,Spear Spewer.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Spear Spewer.jpg
Sphinx of Foresight,Sphinx of Foresight.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Sphinx of Foresight.jpg
Sphinx of New Prahv,Sphinx of New Prahv.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Sphinx of New Prahv.jpg
Sphinx of the Guildpact,Sphinx of the Guildpact.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Sphinx of the Guildpact.jpg
Sphinx's Insight,Sphinx's Insight.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Sphinx's Insight.jpg
Spikewheel Acrobat,Spikewheel Acrobat.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Spikewheel Acrobat.jpg
Spire Mangler,Spire Mangler.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Spire Mangler.jpg
Spirit of the Spires,Spirit of the Spires.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Spirit of the Spires.jpg
